identifier,sent,status,msgType,senderName,event,responseType,urgency,severity,certainty,headline,description,instruction,areaDesc,date,time,description_clean,prediction,true_num,pred_num,error
NWS-130404-686179-474529,2013-12-29T15:20:08.000Z,Actual,Cancel,NWS Aberdeen SD,Wind Chill Advisory,['Prepare'],Expected,Moderate,Likely,Wind Chill Advisory issued December 29 at 9:19AM CST expiring December 29 at 12:00PM CST by NWS Aberdeen SD,".AN ARCTIC HIGH PRESSURE WILL BRING COLD TEMPERATURES...AND
BRUTALLY COLD WIND CHILLS TO THE AREA THIS MORNING.THE NATIONAL WEATHER SERVICE IN ABERDEEN HAS CANCELLED THE WIND
CHILL ADVISORY. THE WIND HAS BECOME LIGHT AND VARIABLE...NEGATING
THE EFFECTS OF THE COLD AIR IN PLACE ACROSS THE REGION.",,Lyman; Stanley; Dewey; Jones; Potter; Corson; Campbell; Buffalo; Walworth; Sully; Hyde; Hughes,2013-12-29,15:20:08,.an arctic high pressure will bring cold temperatures...and brutally cold wind chills to the area this morning.the national weather service in aberdeen has cancelled the wind chill advisory. the wind has become light and variable...negating the effects of the cold air in place across the region.,Moderate,2,2,0
NWS-IDP-PROD-4254602-3585882,2020-06-05T02:21:00.000Z,Actual,Update,NWS Hastings NE,Severe Thunderstorm Warning,['Shelter'],Immediate,Severe,Observed,Severe Thunderstorm Warning issued June 4 at 9:21PM CDT until June 4 at 9:45PM CDT by NWS Hastings NE,"At 921 PM CDT, a severe thunderstorm was located over Bladen, or 20
miles southwest of Hastings, moving east at 35 mph.

HAZARD...Ping pong ball size hail and 60 mph wind gusts.

SOURCE...Radar indicated.

IMPACT...People and animals outdoors will be injured. Expect hail
damage to roofs, siding, windows, and vehicles. Expect wind
damage to roofs, siding, and trees.

Locations impacted include...
Blue Hill, Campbell, Bladen, Roseland, Holstein, Ayr and Rosemont.","For your protection move to an interior room on the lowest floor of a
building.","Adams, NE; Webster, NE",2020-06-05,02:21:00,"at 921 pm cdt, a severe thunderstorm was located over bladen, or 20 miles southwest of hastings, moving east at 35 mph. hazard...ping pong ball size hail and 60 mph wind gusts. source...radar indicated. impact...people and animals outdoors will be injured. expect hail damage to roofs, siding, windows, and vehicles. expect wind damage to roofs, siding, and trees. locations impacted include... blue hill, campbell, bladen, roseland, holstein, ayr and rosemont.",Severe,3,3,0
NWS-130404-680932,2013-12-25T14:32:40.000Z,Actual,Alert,NWS Wichita KS,Extreme Fire Danger,['Prepare'],Expected,Moderate,Likely,Extreme Fire Danger issued December 25 at 8:32AM CST by NWS Wichita KS,"THE GFDI DOES NOT ACCOUNT FOR PRECIPITATION THAT OCCURS WITHIN
THE HOUR PRECEDING ANY GIVEN FORECAST HOUR BELOW OR ANY SNOW ON
THE GROUND AT THE FORECAST HOUR. PLEASE MAKE APPROPRIATE ADJUSTMENTS.(ALL TIME REFERENCES ARE IN CST)

DAY/DATE      24HR INDEX   *  MID  3AM  6AM  9AM NOON  3PM  6PM  9PM
WED DEC 25  LOW         2  *                  L    L    L    L    L  
THU DEC 26  MODERATE    4  *   L    L    L    L    L    M    L    L  
FRI DEC 27  LOW         2  *   L    L    L    L    L    L    L    L  
SAT DEC 28  MODERATE    4  *   L    L    L    L    M    M    L    L  
SUN DEC 29  MODERATE    4  *   L    L    M    M    M    M    L    L  
MON DEC 30  LOW         1  *   L    L    L    L    L    L    L    L",,Woodson,2013-12-25,14:32:40,the gfdi does not account for precipitation that occurs within the hour preceding any given forecast hour below or any snow on the ground at the forecast hour. please make appropriate adjustments.(all time references are in cst) day/date 24hr index * mid 3am 6am 9am noon 3pm 6pm 9pm wed dec 25 low 2 * l l l l l thu dec 26 moderate 4 * l l l l l m l l fri dec 27 low 2 * l l l l l l l l sat dec 28 moderate 4 * l l l l m m l l sun dec 29 moderate 4 * l l m m m m l l mon dec 30 low 1 * l l l l l l l l,Moderate,2,2,0
NWS-130404-691565-478238,2014-01-02T08:56:56.000Z,Actual,Update,NWS Cleveland OH,Winter Weather Advisory,['Execute'],Expected,Moderate,Likely,Winter Weather Advisory issued January 2 at 3:56AM EST expiring January 3 at 1:00AM EST by NWS Cleveland OH,"LOW PRESSURE WILL MOVE ACROSS THE OHIO VALLEY LATER TODAY. SNOW
WILL GRADUALLY DIMINISH FROM THE WEST THIS AFTERNOON AS THE LOW
MOVES EAST OF THE AREA. SOME LAKE EFFECT SNOW SHOWERS WILL LINGER
ACROSS NORTHEAST OHIO AND NORTHWEST PENNSYLVANIA INTO FRIDAY. IN
ADDITION NORTHEAST WINDS WILL INCREASE IN INTENSITY THIS AFTERNOON
CAUSING BLOWING AND DRIFTING SNOW.* ACCUMULATIONS...SNOW WILL CONTINUE THROUGH THE DAY WITH AN
  ADDITIONAL 3 TO 5 INCHES POSSIBLE TODAY.

* TIMING...SNOW WILL CONTINUE INTO TONIGHT.

* WINDS...NORTH TO NORTHEAST WINDS WILL INCREASE TO 15 TO 25 MPH
  WITH GUSTS TO 35 MPH.

* VISIBILITIES...VISIBILITIES WILL BE LESS THAN A QUARTER OF A
  MILE AT TIMES.

* TEMPERATURES...WIND CHILLS NEAR ZERO AT TIMES TODAY AND BELOW
  ZERO TONIGHT.

* IMPACTS...EXPECT SNOW AND SNOW COVERED ROADS. COLD 
  TEMPERATURES WILL ALLOW SNOW TO EASILY STICK TO THE ROADWAYS. 
  THE HEAVIER SNOW AND BLOWING SNOW WILL REDUCE VISIBILITY. 
  DRIFTING SNOW IN OPEN AREAS WILL OCCUR THURSDAY INTO THURSDAY 
  NIGHT.","THE WINTER WEATHER ADVISORY IS IN EFFECT FOR A VARIETY OF
HAZARDOUS WINTER WEATHER CONDITIONS INCLUDING SNOW... BLOWING AND
DRIFTING SNOW AND LOW WIND CHILLS. STAY TUNED TO NOAA WEATHER
RADIO FOR FURTHER DETAILS OR UPDATES.

",Lake; Cuyahoga; Erie; Medina; Portage; Summit; Trumbull; Crawford; Geauga; Ashtabula,2014-01-02,08:56:56,low pressure will move across the ohio valley later today. snow will gradually diminish from the west this afternoon as the low moves east of the area. some lake effect snow showers will linger across northeast ohio and northwest pennsylvania into friday. in addition northeast winds will increase in intensity this afternoon causing blowing and drifting snow.* accumulations...snow will continue through the day with an additional 3 to 5 inches possible today. * timing...snow will continue into tonight. * winds...north to northeast winds will increase to 15 to 25 mph with gusts to 35 mph. * visibilities...visibilities will be less than a quarter of a mile at times. * temperatures...wind chills near zero at times today and below zero tonight. * impacts...expect snow and snow covered roads. cold temperatures will allow snow to easily stick to the roadways. the heavier snow and blowing snow will reduce visibility. drifting snow in open areas will occur thursday into thursday night.,Severe,2,3,1
NWS-130404-686364,2013-12-29T17:52:34.000Z,Actual,Alert,NWS Wichita KS,Extreme Fire Danger,['Prepare'],Expected,Moderate,Likely,Extreme Fire Danger issued December 29 at 11:52AM CST by NWS Wichita KS,"THE GFDI DOES NOT ACCOUNT FOR PRECIPITATION THAT OCCURS WITHIN
THE HOUR PRECEDING ANY GIVEN FORECAST HOUR BELOW OR ANY SNOW ON
THE GROUND AT THE FORECAST HOUR. PLEASE MAKE APPROPRIATE ADJUSTMENTS.(ALL TIME REFERENCES ARE IN CST)

DAY/DATE      24HR INDEX   *  MID  3AM  6AM  9AM NOON  3PM  6PM  9PM
SUN DEC 29  HIGH        9  *                       H    M    L    L  
MON DEC 30  MODERATE    5  *   L    L    L    L    M    M    L    L  
TUE DEC 31  HIGH        9  *   L    L    L    L    M    H    M    L  
WED JAN 01  LOW         1  *   L    L    L    L    L    L    L    L  
THU JAN 02  LOW         1  *   L    L    L    L    L    L    L    L  
FRI JAN 03  MODERATE    5  *   L    L    L    L    M    M    M    M",,Marion,2013-12-29,17:52:34,the gfdi does not account for precipitation that occurs within the hour preceding any given forecast hour below or any snow on the ground at the forecast hour. please make appropriate adjustments.(all time references are in cst) day/date 24hr index * mid 3am 6am 9am noon 3pm 6pm 9pm sun dec 29 high 9 * h m l l mon dec 30 moderate 5 * l l l l m m l l tue dec 31 high 9 * l l l l m h m l wed jan 01 low 1 * l l l l l l l l thu jan 02 low 1 * l l l l l l l l fri jan 03 moderate 5 * l l l l m m m m,Minor,2,1,-1
NWS-130404-690476-477328,2014-01-01T17:09:45.000Z,Actual,Update,NWS Lincoln IL,Winter Weather Advisory,['Execute'],Expected,Moderate,Likely,Winter Weather Advisory issued January 1 at 11:09AM CST expiring January 2 at 6:00AM CST by NWS Lincoln IL,"A WINTER WEATHER ADVISORY REMAINS IN EFFECT UNTIL 6 AM CST
THURSDAY. 

* TIMING...LIGHT SNOW WILL BEGIN THIS AFTERNOON. OCCASIONAL 
  PERIODS OF MODERATE SNOW WILL BE POSSIBLE LATE TONIGHT BEFORE 
  THE SNOW DIMINISHES AROUND SUNRISE THURSDAY. 

* ACCUMULATIONS...THREE TO FIVE INCHES BY 6 AM THURSDAY.

* WIND...NORTHEAST WINDS OF 5 TO 15 MPH THIS AFTERNOON WILL 
  SHIFT TO THE NORTH AND INCREASE TO 10 TO 20 MPH LATE TONIGHT. 

* IMPACTS...SNOW WILL HAMPER HOLIDAY TRAVEL THIS AFTERNOON AND 
  TONIGHT.","A WINTER WEATHER ADVISORY FOR SNOW MEANS THAT PERIODS OF SNOW
WILL CAUSE PRIMARILY TRAVEL DIFFICULTIES. BE PREPARED FOR SNOW
COVERED ROADS AND LIMITED VISIBILITIES...AND USE CAUTION WHILE
DRIVING.

",Mason; Peoria; Knox; Marshall; McLean; Schuyler; Stark; Tazewell; Woodford; Fulton,2014-01-01,17:09:45,a winter weather advisory remains in effect until 6 am cst thursday. * timing...light snow will begin this afternoon. occasional periods of moderate snow will be possible late tonight before the snow diminishes around sunrise thursday. * accumulations...three to five inches by 6 am thursday. * wind...northeast winds of 5 to 15 mph this afternoon will shift to the north and increase to 10 to 20 mph late tonight. * impacts...snow will hamper holiday travel this afternoon and tonight.,Moderate,2,2,0
NWS-IDP-PROD-4264094-3592440,2020-06-08T22:46:00.000Z,Actual,Alert,NWS Memphis TN,Flood Advisory,['Avoid'],Expected,Minor,Likely,Flood Advisory issued June 8 at 5:46PM CDT until June 8 at 6:45PM CDT by NWS Memphis TN,"The National Weather Service in Memphis has issued a

* Flood Advisory for...
Southwestern Benton County in northeastern Mississippi...
Calhoun County in northeastern Mississippi...
Western Chickasaw County in northeastern Mississippi...
Western Pontotoc County in northeastern Mississippi...
Western Union County in northeastern Mississippi...
Lafayette County in northwestern Mississippi...
Southern Marshall County in northwestern Mississippi...
Eastern Yalobusha County in northwestern Mississippi...

* Until 645 PM CDT.

* At 546 PM CDT, Doppler radar indicated heavy rain due to tropical
showers and thunderstorms. Minor flooding is ongoing or expected
to begin shortly in the advisory area.

Some locations that will experience flooding include...
Oxford, Water Valley, Holly Springs National Forest, Wall Doxey
State Park, Bruce, Calhoun City, Vardaman, Derma, Coffeeville,
Pittsboro, Slate Springs, Tula, Paris, Banner, Denmark,
Springdale, Randolph, Cambridge, Velma and Pinedale.","A Flood Advisory means river or stream flows are elevated, or
ponding of water in urban or other areas is occurring or is imminent.

Excessive runoff from heavy rainfall will cause flooding of small
creeks and streams, country roads, farmland, and other low lying
spots.","Lafayette, MS; Yalobusha, MS; Benton, MS; Marshall, MS; Chickasaw, MS; Calhoun, MS; Union, MS; Pontotoc, MS",2020-06-08,22:46:00,"the national weather service in memphis has issued a * flood advisory for... southwestern benton county in northeastern mississippi... calhoun county in northeastern mississippi... western chickasaw county in northeastern mississippi... western pontotoc county in northeastern mississippi... western union county in northeastern mississippi... lafayette county in northwestern mississippi... southern marshall county in northwestern mississippi... eastern yalobusha county in northwestern mississippi... * until 645 pm cdt. * at 546 pm cdt, doppler radar indicated heavy rain due to tropical showers and thunderstorms. minor flooding is ongoing or expected to begin shortly in the advisory area. some locations that will experience flooding include... oxford, water valley, holly springs national forest, wall doxey state park, bruce, calhoun city, vardaman, derma, coffeeville, pittsboro, slate springs, tula, paris, banner, denmark, springdale, randolph, cambridge, velma and pinedale.",Moderate,1,2,1
NWS-130404-687649-475569,2013-12-30T14:58:05.000Z,Actual,Cancel,NWS Lincoln IL,Wind Chill Advisory,['Prepare'],Expected,Moderate,Likely,Wind Chill Advisory issued December 30 at 8:57AM CST expiring December 30 at 9:00AM CST by NWS Lincoln IL,"THE WIND CHILL ADVISORY WILL EXPIRE AT 9 AM CST THIS MORNING. 

WIND CHILLS IN THE ADVISORY AREA HAVE RISEN WARMER THAN ADVISORY
LEVELS...BUT STILL REMAIN IN THE ZERO TO 10 BELOW RANGE AS OF 9
AM.",,Mason; Peoria; Knox; Marshall; McLean; Schuyler; Stark; Tazewell; Woodford; Fulton,2013-12-30,14:58:05,the wind chill advisory will expire at 9 am cst this morning. wind chills in the advisory area have risen warmer than advisory levels...but still remain in the zero to 10 below range as of 9 am.,Minor,2,1,-1
NWS-130404-689220,2013-12-31T19:55:26.000Z,Actual,Alert,NWS Pocatello ID,Special Weather Statement,['Execute'],Expected,Moderate,Observed,Special Weather Statement issued December 31 at 12:55PM MST by NWS Pocatello ID,"A MODEST STORM SYSTEM WILL SHEAR SOUTHEAST THROUGH THE REGION THIS 
EVENING PRODUCING 1 TO 4 INCHES OF NEW SNOWFALL ACROSS THE EASTERN 
HIGHLANDS...PARTICULARLY FROM PALISADES RESERVOIR TO ISLAND PARK. AS 
A RESULT...NEW YEARS EVE TRAVELERS SHOULD EXERCISE CAUTION TONIGHT 
WHEN TRAVELING OVER SNOW COVERED ROADS AND MOUNTAIN PASSES. SNOW 
SHOULD TAPER OFF BY WEDNESDAY MORNING.",,Caribou; Clark; Bannock; Fremont; Bear Lake; Teton; Bingham; Bonneville; Madison; Franklin,2013-12-31,19:55:26,a modest storm system will shear southeast through the region this evening producing 1 to 4 inches of new snowfall across the eastern highlands...particularly from palisades reservoir to island park. as a result...new years eve travelers should exercise caution tonight when traveling over snow covered roads and mountain passes. snow should taper off by wednesday morning.,Moderate,2,2,0
NWS-130404-692699-479268,2014-01-02T20:42:19.000Z,Actual,Alert,NWS Morristown TN,Wind Chill Advisory,['Prepare'],Expected,Moderate,Likely,Wind Chill Advisory issued January 2 at 3:41PM EST expiring January 3 at 12:00PM EST by NWS Morristown TN,"A VERY COLD AIR MASS WILL BUILD INTO THE AREA THIS EVENING BEHIND A
COLD FRONT. ACCUMULATING SNOW IS EXPECTED TONIGHT ACROSS PORTIONS
OF THE AREA...WITH MODERATE TO HEAVY SNOW ACCUMULATIONS OVER THE
MOUNTAINS OF SOUTHWEST VIRGINIA AND THE FAR EASTERN TENNESSEE
MOUNTAINS. LIGHT SNOW ACCUMULATIONS ARE POSSIBLE ACROSS THE
NORTHERN CUMBERLAND PLATEAU...NORTHERN TENNESSEE VALLEY...AND LOWER
ELEVATIONS OF SOUTHWEST VIRGINIA.

LOW TEMPERATURES TONIGHT WILL BE IN THE SINGLE DIGITS AND TEENS...AND
HIGHS FRIDAY WILL BE IN THE TEENS TO LOWER 30S. THE COLD AIR
COMBINED WITH BRISK NORTHWEST WINDS BETWEEN 15 AND 30 MPH TONIGHT
WILL PRODUCE WIND CHILLS BETWEEN -5 AND -15 DEGREES ACROSS THE
HIGHER ELEVATIONS...AND SINGLE DIGITS ELSEWHERE....WIND CHILL ADVISORY IN EFFECT FROM 1 AM TO NOON EST FRIDAY...

THE NATIONAL WEATHER SERVICE IN MORRISTOWN HAS ISSUED A WIND
CHILL ADVISORY...WHICH IS IN EFFECT FROM 1 AM TO NOON EST FRIDAY.

* EVENT...SNOW ACCUMULATIONS OF 2 TO 5 INCHES ARE POSSIBLE THROUGH
  TONIGHT...WITH UP TO 6 INCHES POSSIBLE IN THE HIGHEST PEAKS.
  WIND CHILL VALUES WILL FALL TO BETWEEN -5 AND -15 DEGREES TONIGHT
  THROUGH FRIDAY MORNING.

* TIMING...PERIODS OF MODERATE TO HEAVY SNOW ARE POSSIBLE THIS
  EVENING AND TONIGHT. SNOW SHOWERS WILL DIMINISH TO FLURRIES
  AROUND DAYBREAK FRIDAY. 

* IMPACTS...ROADS MAY BECOME SNOW AND ICE COVERED AND SLICK LATE 
  THURSDAY AND THURSDAY NIGHT... ESPECIALLY ROADWAYS AT OR ABOVE 
  2500 FEET. PERIODS OF REDUCED VISIBILITIES BELOW ONE HALF OF A 
  MILE MAY BE POSSIBLE IN THE HEAVY SNOW SHOWERS THURSDAY NIGHT.","A WIND CHILL ADVISORY MEANS THAT COLD AIR AND STRONG WINDS WILL
COMBINE TO GENERATE VERY LOW WIND CHILLS. THESE CONDITIONS CAN
RESULT IN FROST BITE AND LEAD TO HYPOTHERMIA OR EVEN DEATH IF
PRECAUTIONS ARE NOT TAKEN.  THOSE VENTURING OUTDOORS SHOULD DRESS
WARMLY...MAKING SURE ALL EXPOSED SKIN IS COVERED.

A WINTER STORM WARNING FOR HEAVY SNOW MEANS SEVERE WINTER WEATHER
CONDITIONS ARE EXPECTED OR OCCURRING.  SIGNIFICANT AMOUNTS OF
SNOW ARE FORECAST THAT WILL MAKE TRAVEL DANGEROUS. IN ADDITION...
SNOWFALL INTENSITIES WILL BE HEAVY ENOUGH TO SUBSTANTIALLY REDUCE
VISIBILITIES AT TIMES.  TRAVEL IS DISCOURAGED. IF TRAVEL IS
UNAVOIDABLE...KEEP AN EXTRA FLASHLIGHT...FOOD...AND WATER IN YOUR
VEHICLE IN CASE OF AN EMERGENCY.

",Wise; Monroe; Blount; Unicoi; Johnson; City of Norton; Cocke; Sevier; Carter; Greene,2014-01-02,20:42:19,a very cold air mass will build into the area this evening behind a cold front. accumulating snow is expected tonight across portions of the area...with moderate to heavy snow accumulations over the mountains of southwest virginia and the far eastern tennessee mountains. light snow accumulations are possible across the northern cumberland plateau...northern tennessee valley...and lower elevations of southwest virginia. low temperatures tonight will be in the single digits and teens...and highs friday will be in the teens to lower 30s. the cold air combined with brisk northwest winds between 15 and 30 mph tonight will produce wind chills between -5 and -15 degrees across the higher elevations...and single digits elsewhere....wind chill advisory in effect from 1 am to noon est friday... the national weather service in morristown has issued a wind chill advisory...which is in effect from 1 am to noon est friday. * event...snow accumulations of 2 to 5 inches are possible through tonight...with up to 6 inches possible in the highest peaks. wind chill values will fall to between -5 and -15 degrees tonight through friday morning. * timing...periods of moderate to heavy snow are possible this evening and tonight. snow showers will diminish to flurries around daybreak friday. * impacts...roads may become snow and ice covered and slick late thursday and thursday night... especially roadways at or above 2500 feet. periods of reduced visibilities below one half of a mile may be possible in the heavy snow showers thursday night.,Severe,2,3,1
NWS-130404-680394-471271,2013-12-25T07:38:36.000Z,Actual,Update,NWS Gray ME,Wind Chill Advisory,['Prepare'],Expected,Moderate,Likely,Wind Chill Advisory issued December 25 at 2:38AM EST expiring December 25 at 10:00AM EST by NWS Gray ME,"...WINDS AND COLD WILL MAKE FOR A VERY COLD HOLIDAY...

.THE COMBINATION OF VERY COLD AIR WILL BRING DANGEROUS WIND CHILLS TO THE NORTHERN NEW HAMPSHIRE
AND THE MOUNTAINS OF WESTERN MAINE...WITH READINGS OF BETWEEN
20 AND 30 BELOW THROUGH THIS MORNING.* HAZARD TYPES...WIND CHILLS BETWEEN 20 AND 29 BELOW ZERO.

* TIMING...DANGEROUS WIND CHILL CAN BE EXPECTED IN THE NEXT COUPLE
  OF HOURS...LASTING THROUGH THIS MORNING.

* IMPACTS...FROST BITE CAN OCCUR QUICKLY ON EXPOSED SKIN.

* WINDS...NORTHWEST 5 TO 15 MPH WITH GUSTS UP TO 25 MPH.

* TEMPERATURES...6 BELOW TO 5 ABOVE ZERO.","A WIND CHILL ADVISORY MEANS THE COMBINATION OF VERY COLD AIR AND
GUSTY WINDS WILL CREATE DANGEROUSLY LOW WIND CHILL VALUES. THIS
WILL RESULT IN FROST BITE OR LEAD TO HYPOTHERMIA IF PRECAUTIONS
ARE NOT TAKEN. IF YOU MUST GO OUTSIDE DRESS IN LAYERS...AND KEEP
ALL YOUR SKIN AND YOUR HEAD COVERED. PROTECT LIVESTOCK FROM THE
COLD AND BRING YOUR PETS INSIDE.

",Coos; Franklin; Somerset; Oxford,2013-12-25,07:38:36,...winds and cold will make for a very cold holiday... .the combination of very cold air will bring dangerous wind chills to the northern new hampshire and the mountains of western maine...with readings of between 20 and 30 below through this morning.* hazard types...wind chills between 20 and 29 below zero. * timing...dangerous wind chill can be expected in the next couple of hours...lasting through this morning. * impacts...frost bite can occur quickly on exposed skin. * winds...northwest 5 to 15 mph with gusts up to 25 mph. * temperatures...6 below to 5 above zero.,Severe,2,3,1
NWS-IDP-PROD-4253121-3584906,2020-06-04T17:31:00.000Z,Actual,Update,NWS Kansas City/Pleasant HIll MO,Flood Warning,['Avoid'],Immediate,Severe,Observed,Flood Warning issued June 4 at 12:31PM CDT until June 7 at 11:40PM CDT by NWS Kansas City/Pleasant HIll MO,"...The Flood Warning continues for the following rivers in
Missouri...

Big Creek at Blairstown affecting Cass...Henry and Johnson Counties.

Blackwater River near Blue Lick affecting Cooper and Saline
Counties.

Crooked River near Richmond affecting Ray County.

The Flood Warning continues for
The Blackwater River near Blue Lick.
* until Sunday evening.
* At 11:45 AM Thursday the stage was 23.8 feet.
* Flood stage is 24.0 feet.
* Minor flooding is forecast.
* Forecast...Rise above flood stage by this afternoon and continue to
rise to near 26.0 feet by Friday morning. The river will fall below
flood stage by Saturday before midnight.
* At 24.0 feet...Cropland and pastures along the river flood.","Do not drive through flowing water. Nearly half of all flood
fatalities are vehicle related. As little as 6 inches of water may
cause you to lose control of your vehicle. Two feet of water will
carry most vehicles away.This product along with additional weather
and stream information is available at www.weather.gov/kc/.","Saline, MO; Cooper, MO",2020-06-04,17:31:00,...the flood warning continues for the following rivers in missouri... big creek at blairstown affecting cass...henry and johnson counties. blackwater river near blue lick affecting cooper and saline counties. crooked river near richmond affecting ray county. the flood warning continues for the blackwater river near blue lick. * until sunday evening. * at 11:45 am thursday the stage was 23.8 feet. * flood stage is 24.0 feet. * minor flooding is forecast. * forecast...rise above flood stage by this afternoon and continue to rise to near 26.0 feet by friday morning. the river will fall below flood stage by saturday before midnight. * at 24.0 feet...cropland and pastures along the river flood.,Severe,3,3,0
NWS-130404-698599,2014-01-05T17:09:14.000Z,Actual,Alert,NWS Quad Cities IA IL,Special Weather Statement,['Execute'],Expected,Moderate,Observed,Special Weather Statement issued January 5 at 11:09AM CST by NWS Quad Cities IA IL,"SPSDVN

SPECIAL WEATHER STATEMENT
NATIONAL WEATHER SERVICE QUAD CITIES IA IL
1109 AM CST SUN JAN 5 2014

ILZ017-018-052115-
BUREAU-PUTNAM-
INCLUDING THE CITIES OF...PRINCETON...HENNEPIN
1109 AM CST SUN JAN 5 2014

TRAVEL NOT RECOMMENDED IN BUREAU AND PUTNAM COUNTIES IN
NORTHWEST ILLINOIS...

SNOWFALL SINCE LAST NIGHT HAS ACCUMULATED TO OVER 6 INCHES IN
BUREAU AND PUTNAM COUNTIES IN NORTHWEST ILLINOIS. NORTHWEST WINDS
WERE GUSTING OVER 30 MPH AND TRAINED SPOTTERS REPORTED CONSIDERABLE
BLOWING AND DRIFTING WITH SOME DRIFTS SEVERAL FEET DEEP. TRAVEL
WAS BECOMING VERY DIFFICULT TO NEARLY IMPOSSIBLE IN SOME AREAS.

LIGHT TO BRIEFLY MODERATE SNOW WILL CONTINUE INTO THIS AFTERNOON
WITH ADDITIONAL ACCUMULATIONS OF 1 TO 3 INCHES POSSIBLE. NORTHWEST
WINDS WILL INCREASE TO OVER 35 MPH AND TEMPERATURES WILL FALL INTO
THE SINGLE DIGITS THIS AFTERNOON. WIND CHILLS WILL DROP TO 20
BELOW BY LATE THIS AFTERNOON. TRAVEL IS NOT RECOMMENDED AS CONDITIONS
WILL CONTINUE TO DETERIORATE AS MUCH COLDER WEATHER ARRIVES.",,Bureau; Putnam,2014-01-05,17:09:14,spsdvn special weather statement national weather service quad cities ia il 1109 am cst sun jan 5 2014 ilz017-018-052115- bureau-putnam- including the cities of...princeton...hennepin 1109 am cst sun jan 5 2014 travel not recommended in bureau and putnam counties in northwest illinois... snowfall since last night has accumulated to over 6 inches in bureau and putnam counties in northwest illinois. northwest winds were gusting over 30 mph and trained spotters reported considerable blowing and drifting with some drifts several feet deep. travel was becoming very difficult to nearly impossible in some areas. light to briefly moderate snow will continue into this afternoon with additional accumulations of 1 to 3 inches possible. northwest winds will increase to over 35 mph and temperatures will fall into the single digits this afternoon. wind chills will drop to 20 below by late this afternoon. travel is not recommended as conditions will continue to deteriorate as much colder weather arrives.,Severe,2,3,1
NWS-IDP-PROD-4264092-3592439,2020-06-08T22:42:00.000Z,Actual,Alert,NWS Grand Forks ND,Flood Advisory,['Avoid'],Expected,Minor,Likely,Flood Advisory issued June 8 at 5:42PM CDT until June 8 at 11:45PM CDT by NWS Grand Forks ND,"Strong thunderstorms have caused low lying streams around the
Finley area to experience flooding.  Persons should be aware of
water flowing over land in low lying areas.

The National Weather Service in Grand Forks has issued a

* Small Stream Flood Advisory for...
Northwestern Steele County in southeastern North Dakota...

* Until 1145 PM CDT Monday.

* At 542 PM CDT, Doppler radar indicated heavy rain due to
thunderstorms. This will cause small stream flooding.

Some locations that will experience flooding include...
Finley.","Turn around, dont drown. Report flooding to local law enforcement.","Steele, ND",2020-06-08,22:42:00,"strong thunderstorms have caused low lying streams around the finley area to experience flooding. persons should be aware of water flowing over land in low lying areas. the national weather service in grand forks has issued a * small stream flood advisory for... northwestern steele county in southeastern north dakota... * until 1145 pm cdt monday. * at 542 pm cdt, doppler radar indicated heavy rain due to thunderstorms. this will cause small stream flooding. some locations that will experience flooding include... finley.",Moderate,1,2,1
NWS-IDP-PROD-4265508,2020-06-09T15:59:00.000Z,Actual,Alert,NWS Paducah KY,Special Weather Statement,['Execute'],Expected,Moderate,Observed,Special Weather Statement issued June 9 at 10:59AM CDT by NWS Paducah KY,"At 1058 AM CDT, Doppler radar was tracking a strong thunderstorm near
Rosiclare, or 20 miles northwest of Marion, moving northeast at 35
mph.

Wind gusts up to 50 mph will be possible with this storm.

Locations impacted include...
Karbers Ridge and Gross.","Torrential rainfall is also occurring with this storm, and may lead
to localized flooding. Do not drive your vehicle through flooded
roadways.",Pope; Hardin,2020-06-09,15:59:00,"at 1058 am cdt, doppler radar was tracking a strong thunderstorm near rosiclare, or 20 miles northwest of marion, moving northeast at 35 mph. wind gusts up to 50 mph will be possible with this storm. locations impacted include... karbers ridge and gross.",Severe,2,3,1
