identifier,sent,status,msgType,senderName,event,responseType,urgency,severity,certainty,headline,description,instruction,areaDesc,date,time,prediction,true_num,pred_num,error
NWS-IDP-PROD-2252994-2117829,2017-02-23T10:02:19.000Z,Actual,Cancel,NWS Billings MT,Winter Weather Advisory,['Execute'],Expected,Moderate,Likely,Winter Weather Advisory issued February 23 at 3:01AM MST expiring February 24 at 12:00PM MST by NWS Billings MT,"Occasional light snow or flurries are expected today and tonight.
Any accumulation will be less than an inch.","

",Musselshell,2017-02-23,10:02:19,Minor,2.0,1.0,-1.0
NWS-IDP-PROD-2244929-2109382,2017-02-14T22:48:26.000Z,Actual,Alert,NWS Pendleton OR,Freezing Rain Advisory,['Avoid'],Expected,Moderate,Likely,Freezing Rain Advisory issued February 14 at 2:48PM PST expiring February 15 at 12:00PM PST by NWS Pendleton OR,".A Pacific storm system will push precipitation into south-
central Washington and across the Eastern Columbia River Gorge late
tonight and Wednesday. Snow levels will rise with most 
precipitation falling as rain. Surface temperatures late tonight 
into Wednesday morning will be below freezing. Thus the rain will
freeze on contact with cold surfaces.The National Weather Service in Pendleton has issued a Freezing
Rain Advisory...which is in effect from midnight tonight to noon
PST Wednesday.

* LOCATIONS...Yakima...Sunnyside...Goldendale...White Salmon...The
Dalles...Arlington.

* ICE ACCUMULATIONS...up to one tenth of an inch.

* TIMING...Light freezing rain will begin around midnight tonight.
The precipitation will increase towards daybreak Wednesday with
freezing rain or rain expected. Temperatures will begin to rise
by 10 AM on Wednesday and warm above freezing Wednesday
afternoon.

* IMPACTS...Roads and sidewalks will become ice covered and
hazardous.

* TEMPERATURES...In the upper 20s to lower 30s tonight and
Wednesday morning rising to the mid to upper 30s Wednesday afternoon.

* WEB PAGE: For a detailed view of the hazard area visit
http://www.wrh.noaa.gov/map/?wfo=PDT.","A Freezing Rain Advisory means that periods of freezing rain or
freezing drizzle will cause travel difficulties. Be prepared for
slippery roads. Slow down and use caution while driving.

",Gilliam; Sherman; Wasco; Klickitat; Yakima,2017-02-14,22:48:26,Severe,2.0,3.0,1.0
NWS-IDP-PROD-2206644-2068986,2017-01-15T23:27:12.000Z,Actual,Alert,NWS Fort Worth TX,Tornado Warning,['Shelter'],Immediate,Extreme,Observed,Tornado Warning issued January 15 at 5:27PM CST expiring January 15 at 6:00PM CST by NWS Fort Worth TX,"The National Weather Service in Fort Worth has issued a

* Tornado Warning for...
Northeastern Coryell County in central Texas...

* Until 600 PM CST

* At 526 PM CST, a severe thunderstorm capable of producing a tornado
was located near Fort Gates, or 8 miles southeast of Gatesville,
moving north at 50 mph.

HAZARD...Tornado.

SOURCE...Radar indicated rotation.

IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur.  Tree
damage is likely.

* This dangerous storm will be near...
Fort Gates around 530 PM CST.
Gatesville around 540 PM CST.

Other locations impacted by this tornadic thunderstorm include
Oglesby and South Mountain.","TAKE COVER NOW! Move to a basement or an interior room on the lowest
floor of a sturdy building. Avoid windows. If you are outdoors, in a
mobile home, or in a vehicle, move to the closest substantial shelter
and protect yourself from flying debris.

",Coryell,2017-01-15,23:27:12,Severe,4.0,3.0,-1.0
NWS-IDP-PROD-2308778-2173257,2017-04-05T21:02:13.000Z,Actual,Update,NWS Nashville TN,Severe Thunderstorm Warning,['Shelter'],Immediate,Severe,Observed,Severe Thunderstorm Warning issued April 5 at 4:02PM CDT expiring April 5 at 4:30PM CDT by NWS Nashville TN,"At 401 PM CDT, a severe thunderstorm was located near Lynchburg,
moving northeast at 40 mph.

HAZARD...60 mph wind gusts and half dollar size hail.

SOURCE...Trained weather spotters.

IMPACT...Hail damage to vehicles is expected. Expect wind damage to
roofs, siding, and trees.

Locations impacted include...
Shelbyville, Manchester, Tullahoma, Wartrace, Bell Buckle, Normandy,
Beechgrove and Raus.
","For your protection move to an interior room on the lowest floor of a
building.

",Bedford; Coffee,2017-04-05,21:02:13,Severe,3.0,3.0,0.0
urn:oid:2.49.0.1.840.0.5581751435b263199ac0f435eb112ff9eacf1355.004.2,2022-11-09T14:01:00.000Z,Actual,Update,NWS Grand Forks ND,Winter Storm Watch,['Prepare'],Future,Severe,Possible,Winter Storm Watch issued November 9 at 8:01AM CST until November 11 at 6:00PM CST by NWS Grand Forks ND,"* WHAT...For the Winter Weather Advisory this morning, freezing
rain expected. Total ice accumulations up to one tenth of an
inch through midday. For the Winter Storm Watch, blizzard
conditions possible. Total snow accumulations late tonight
into Friday of 4 to 12 inches and ice accumulations of around
three tenths of an inch possible. Winds could gust as high as
55 mph.

* WHERE...Barnes, Cass, Ransom and Sargent Counties.

* WHEN...For the Winter Weather Advisory, until noon CST today.
For the Winter Storm Watch, from this evening through Friday
afternoon.

* IMPACTS...For the advisory this morning, slick travel
conditions are expected during the morning commute. For the
watch period, power outages and tree damage are likely due to
the ice. Travel could be nearly impossible. Widespread blowing
snow could significantly reduce visibility. The hazardous
conditions could impact the morning or evening commute. Gusty
winds could bring down tree branches.

* ADDITIONAL DETAILS...After the period of freezing rain this
morning there should be a lull in activity through early
evening. During the watch period if freezing rain or sleet
persists then snow totals may decrease. Uncertainty remains
for the areas that could receive the heaviest snow and timing
and coverage of freezing rain or sleet. This will create large
spread in potential impacts, and the storm track could still
shift.
","Slow down and use caution while traveling. Prepare for possible
power outages.

Prepare for possible blizzard conditions. Continue to monitor the
latest forecasts for updates on this situation.

The latest road conditions for North Dakota can be found at
dot.nd.gov/travel and for Minnesota at 511mn.org, or by calling
5 1 1 in either state.",,2022-11-09,14:01:00,Severe,3.0,3.0,0.0
NWS-IDP-PROD-2167525-2027673,2016-12-18T10:56:23.000Z,Actual,Update,NWS Corpus Christi TX,Wind Chill Advisory,['Prepare'],Expected,Moderate,Likely,Wind Chill Advisory issued December 18 at 4:56AM CST expiring December 18 at 12:00PM CST by NWS Corpus Christi TX,".WIND CHILL VALUES BEHIND A STRONG ARCTIC FRONT HAVE QUICKLY
DROPPED INTO THE LOW TO MID 20S ACROSS PORTIONS OF THE NORTHERN
BRUSH COUNTRY TO THE VICTORIA CROSSROADS THIS MORNING. ADDITIONAL
WIND CHILL ADVISORIES WILL LIKELY BE NEEDED AGAIN TONIGHT INTO
MONDAY MORNING FOR MOST OF SOUTH TEXAS.* WIND CHILL VALUES...LOW TO MID 20S

* OTHER IMPACTS...THOSE OUTSIDE SHOULD WEAR ADDITIONAL LAYERS OF
CLOTHING INCLUDING HATS...SCARVES...AND GLOVES. PETS SHOULD
ALSO BE PROVIDED SHELTER.","A WIND CHILL ADVISORY MEANS THAT VERY COLD AIR AND STRONG WINDS
WILL COMBINE TO GENERATE LOW WIND CHILLS. THIS WILL RESULT IN
FROST BITE AND LEAD TO HYPOTHERMIA IF PRECAUTIONS ARE NOT TAKEN.
IF YOU MUST VENTURE OUTDOORS...MAKE SURE YOU WEAR A HAT AND
GLOVES.

",La Salle; Live Oak; Goliad; Victoria; McMullen; Bee,2016-12-18,10:56:23,Severe,2.0,3.0,1.0
NWS-IDP-PROD-2169893-2030284,2016-12-20T10:09:36.000Z,Actual,Update,NWS Pocatello ID,Winter Weather Advisory,['Execute'],Expected,Moderate,Likely,Winter Weather Advisory issued December 20 at 3:09AM MST expiring December 21 at 12:00AM MST by NWS Pocatello ID,"* IMPACTS...COMBINATION OF SNOW WITH SOUTHWEST WIND GUSTS TO 25
MPH MAY PRODUCE DIFFICULT DRIVING CONDITIONS.

* TIMING...HEAVIEST SNOW WILL ARRIVE BY EARLY AFTERNOON WITH PEAK
WIND GUSTS LIKELY LATE AFTERNOON AND EVENING.

* SNOW ACCUMULATIONS...2 TO 4 INCHES WITH LESSER AMOUNTS WEST OF
INTERSTATE 15.

* LOCATIONS...IDAHO FALLS...RIGBY AND REXBURG.","A WINTER WEATHER ADVISORY MEANS THAT PERIODS OF SNOW... SLEET OR
FREEZING RAIN WILL CAUSE TRAVEL DIFFICULTIES. BE PREPARED FOR
SLIPPERY ROADS AND LIMITED VISIBILITIES... AND LIMITED
VISIBILITIES... AND USE CAUTION WHILE DRIVING.

",Butte; Jefferson; Bingham; Bonneville; Madison,2016-12-20,10:09:36,Severe,2.0,3.0,1.0
NWS-IDP-PROD-2145037-2003514,2016-11-30T01:35:20.000Z,Actual,Update,NWS Rapid City SD,Winter Storm Warning,['Prepare'],Expected,Severe,Likely,Winter Storm Warning issued November 29 at 6:34PM MST expiring November 30 at 5:00AM MST by NWS Rapid City SD,".HAZARDOUS WINTER WEATHER CONDITIONS WILL CONTINUE THROUGH MOST
OF THE NIGHT, PRIMARILY FROM BLOWING AND DRIFTING SNOW. SNOW WILL
CONTINUE OVER THE NORTHERN BLACK HILLS TONIGHT, DIMINISHING IN
INTENSITY THROUGH THE NIGHT AND FINALLY ENDING WEDNESDAY MORNING.
LIGHT SNOW CAN BE EXPECTED ON PORTIONS OF THE SOUTH DAKOTA PLAINS,
WITH AN ADDITIONAL 1 TO 3 INCHES POSSIBLE THROUGH TONIGHT THERE.

GUSTY NORTHWEST WINDS FROM 20 TO 40 MPH WITH HIGHER GUSTS WILL
CAUSE AREAS OF BLOWING SNOW WITH GREATLY REDUCED VISIBILITIES AT
TIMES, ESPECIALLY THIS EVENING. WINDS WILL BEGIN TO SLOWLY
DIMINISH EARLY WEDNESDAY MORNING.

NO TRAVEL ADVISORIES AND ROAD CLOSURES COVER MUCH OF THE NORTHERN
BLACK HILLS REGION. INTERSTATE 90 IS CLOSED FROM PIEDMONT TO
SPEARFISH. THE LATEST ROAD CONDITIONS FOR THE STATE YOU ARE
CALLING FROM CAN BE OBTAINED BY CALLING 5 1 1.* EXPECT SNOW TO CONTINUE THROUGH THE NIGHT, WHILE DIMINISHING IN
INTENSITY.

* ADDITIONAL SNOW ACCUMULATIONS OF 1 TO 4 INCHES ARE EXPECTED...
WITH STORM TOTAL SNOWFALL AROUND 2 FEET IN UPSLOPE FAVORED AREAS
OF THE NORTHERN BLACK HILLS.

* LOOK FOR SIGNIFICANT REDUCTIONS IN VISIBILITY AT TIMES DUE TO
BLOWING SNOW.

* PLAN ON EXTREMELY DIFFICULT DRIVING CONDITIONS.","A WINTER STORM WARNING FOR SNOW MEANS SEVERE WINTER WEATHER
CONDITIONS ARE OCCURRING. IF YOU MUST TRAVEL...KEEP AN EXTRA
FLASHLIGHT...FOOD AND WATER IN YOUR VEHICLE IN CASE OF AN
EMERGENCY. THE LATEST ROAD CONDITIONS FOR THE STATE YOU ARE
CALLING FROM CAN BE OBTAINED BY CALLING 5 1 1.

",Weston; Crook; Meade; Pennington; Lawrence,2016-11-30,01:35:20,Severe,3.0,3.0,0.0
NWS-IDP-PROD-2213734-2076420,2017-01-21T09:14:04.000Z,Actual,Alert,NWS Baltimore MD/Washington DC,Dense Fog Advisory,['Execute'],Expected,Moderate,Likely,Dense Fog Advisory issued January 21 at 4:13AM EST expiring January 21 at 9:00AM EST by NWS Baltimore MD/Washington DC,"THE NATIONAL WEATHER SERVICE IN BALTIMORE MD/WASHINGTON HAS
ISSUED A DENSE FOG ADVISORY...WHICH IS IN EFFECT UNTIL 9 AM EST
THIS MORNING.

* VISIBILITIES...ONE QUARTER MILE OR LESS.

* IMPACTS...AREAS OF DENSE FOG WILL CAUSE SUDDEN REDUCTIONS IN
VISIBILITY AND RAPIDLY CHANGING CONDITIONS.","A DENSE FOG ADVISORY MEANS VISIBILITIES WILL FREQUENTLY BE
REDUCED TO LESS THAN ONE QUARTER MILE. IF DRIVING...SLOW DOWN...
USE YOUR HEADLIGHTS...AND LEAVE PLENTY OF DISTANCE AHEAD OF YOU.

",Nelson; Culpeper; Loudoun; Fauquier; City of Charlottesville; Montgomery; Orange; Rappahannock; Albemarle; Greene; Madison; Howard,2017-01-21,09:14:04,Severe,2.0,3.0,1.0
NWS-IDP-PROD-2133065-1991209,2016-11-17T21:19:06.000Z,Actual,Alert,NWS Las Vegas NV,Freeze Warning,['Execute'],Expected,Moderate,Likely,Freeze Warning issued November 17 at 1:17PM PST expiring November 18 at 7:00AM PST by NWS Las Vegas NV,"THE NATIONAL WEATHER SERVICE IN LAS VEGAS HAS ISSUED A FREEZE
WARNING...WHICH IS IN EFFECT FROM MIDNIGHT TONIGHT TO 7 AM PST
FRIDAY.

* TEMPERATURES...NEAR 30 IN PRIMM...JEAN...AND CAL-NEV-ARI. SLIGHTLY
WARMER CONDITIONS EXPECTED NEAR SEARCHLIGHT. THIS WILL BE THE
FIRST FREEZE OF THE SEASON FOR MANY LOCATIONS IN THE WARNING AREA.

* IMPACTS...THE FIRST FREEZE OF THE SEASON MAY KILL SENSITIVE
CROPS AND VEGETATION.","A FREEZE WARNING MEANS SUB-FREEZING TEMPERATURES ARE IMMINENT OR
HIGHLY LIKELY. THESE CONDITIONS WILL KILL CROPS AND OTHER
SENSITIVE VEGETATION.

",Clark,2016-11-17,21:19:06,Severe,2.0,3.0,1.0
NWS-IDP-PROD-2139711-1997962,2016-11-24T21:42:59.000Z,Actual,Cancel,NWS Los Angeles/Oxnard CA,Wind Advisory,['Execute'],Expected,Moderate,Likely,Wind Advisory issued November 24 at 1:42PM PST expiring November 24 at 3:00PM PST by NWS Los Angeles/Oxnard CA,"THE NATIONAL WEATHER SERVICE IN LOS ANGELES/OXNARD HAS CANCELLED
THE WIND ADVISORY.

WINDS HAVE DROPPED BELOW 35 MPH IN MOST AREAS THIS AFTERNOON.","

",Los Angeles; Ventura,2016-11-24,21:42:59,Minor,2.0,1.0,-1.0
NWS-IDP-PROD-2263919-2128289,2017-03-01T23:49:52.000Z,Actual,Alert,NWS San Juan PR,Rip Current Statement,['Avoid'],Expected,Moderate,Likely,Rip Current Statement issued March 1 at 7:49PM AST expiring March 3 at 6:00AM AST by NWS San Juan PR,"FRESH TO STRONG TRADE WINDS WILL INDUCE STRONG RIP CURRENTS ON 
COASTLINES WITH EAST AND NORTH EXPOSURES.THE NATIONAL WEATHER SERVICE IN SAN JUAN HAS ISSUED A HIGH RIP
CURRENT RISK, WHICH IS IN EFFECT FROM 6 AM AST THURSDAY THROUGH
LATE THURSDAY NIGHT.

* LOCATION...SOUTH AND SOUTHWEST COAST OF PUERTO RICO.

* TIMING...THROUGH LATE THURSDAY NIGHT.

* IMPACTS...STRONG CURRENTS THAT CAN CARRY EVEN THE BEST
SWIMMERS OUT TO SEA.","THERE IS A HIGH RISK OF RIP CURRENTS.

RIP CURRENTS ARE POWERFUL CHANNELS OF WATER FLOWING QUICKLY AWAY
FROM SHORE...WHICH OCCUR MOST OFTEN AT LOW SPOTS OR BREAKS IN THE
SANDBAR AND IN THE VICINITY OF STRUCTURES SUCH AS GROINS...
JETTIES AND PIERS. HEED THE ADVICE OF LIFEGUARDS...BEACH PATROL
FLAGS AND SIGNS.

",Cabo Rojo; Guanica; Penuelas; Ponce; Guayanilla; Juana Diaz; Lajas; Santa Isabel; Yauco,2017-03-01,23:49:52,Severe,2.0,3.0,1.0
NWS-IDP-PROD-2265749-2130059,2017-03-03T11:40:51.000Z,Actual,Update,NWS Caribou ME,Wind Chill Advisory,['Prepare'],Expected,Moderate,Likely,Wind Chill Advisory issued March 3 at 6:40AM EST expiring March 5 at 9:00AM EST by NWS Caribou ME,"* LOCATIONS...Portions of the North Woods.

* HAZARD TYPES...Dangerous wind chill temperatures

* WIND CHILL READINGS...As low as 25 to 30 below.

* TIMING...After midnight tonight into Sunday morning. Wind
chill temperatures may rise above 20 -very briefly Saturday
afternoon, then quickly drop down below 20 -in the evening.

* IMPACTS...Dangerous wind chills may quickly produce frostbite
on exposed skin.

* WINDS...Northwest 10 to 20 mph with gusts up to 30 mph.

* TEMPERATURES...10 below Saturday morning, rising to just above
zero on Saturday then dropping below zero Saturday night.","A Wind Chill Advisory means that very cold air and strong winds
will combine to generate low wind chills. This will result in
frost bite and lead to hypothermia if precautions are not taken.
If you must venture outdoors...make sure you wear a hat and
gloves.

",Somerset; Aroostook,2017-03-03,11:40:51,Severe,2.0,3.0,1.0
NWS-IDP-PROD-2261157-2125693,2017-03-01T06:22:51.000Z,Actual,Cancel,NWS Chicago IL,Flood Advisory,['Avoid'],Expected,Minor,Observed,Flood Advisory issued March 1 at 12:22AM CST expiring March 3 at 12:00PM CST by NWS Chicago IL,"...The Flood Advisory is cancelled for the East Branch Du Page 
River...Illinois River...
 
  East Branch Du Page River at Bolingbrook affecting Will County
  Illinois River at La Salle affecting Bureau Safety message...If you encounter a flooded roadway...turn around and
find an alternate route.

Additional information can be found at weather.gov/chicago.","Safety message...If you encounter a flooded roadway...turn around and
find an alternate route.

Additional information can be found at weather.gov/chicago.

",Will,2017-03-01,06:22:51,Minor,1.0,1.0,0.0
